order_id,checkout_id,brand_id,retailer_id,order_amount,has_discount,fees_percentage,payment_cost_percentage,shipping_cost_euro
8732,916,79,1491,"235,2",0,"0,15","0,05","32,74"
1108,600,79,1564,"218,4",100,"0,05","0,05","22,82"
11097,3293,79,1657,"134,4",0,"0,15","0,05","21,34"
1264,641,79,1680,"151,2",0,"0,15","0,05","19,97"
5400,672,79,1680,"134,4",0,"0,15","0,05","19,66"
1314,670,79,1726,252,100,"0,05","0,05","22,82"
1416,709,79,1820,"201,6",0,"0,15","0,05","32,74"
3731,885,79,1857,"134,4",0,"0,15","0,05","35,56"
1912,905,79,1912,"201,6",100,"0,05","0,05","21,86"
4578,1778,79,1959,"134,4",0,"0,15","0,05","35,56"
10549,3566,79,1959,"134,4",0,"0,15","0,05","13,26"
5002,1072,79,2022,"135,6",0,"0,15","0,05","21,53"
2511,1146,79,2280,"235,2",0,"0,15","0,05","26,75"
2226,987,79,2342,"218,4",0,"0,15","0,05","32,74"
2188,1001,79,2390,"537,6",100,"0,05","0,05","32,39"
5217,2007,79,3336,"184,8",100,"0,05","0,05","32,74"
8111,2448,79,3620,"369,6",100,"0,05","0,05","35,56"
5523,1689,79,4213,"124,8",100,"0,05","0,05","18,71"
6752,1894,79,4545,"285,6",0,"0,15","0,05","28,2"
5448,2088,79,4712,168,0,"0,15","0,05","25,38"
5676,2174,79,4850,"235,2",0,"0,15","0,05","22,46"
9462,2179,79,4850,"537,6",0,"0,15","0,05","38,84"
7498,2723,79,5048,"134,4",0,"0,15","0,05","24,04"
9006,3132,79,5243,"433,2",100,"0,05","0,05","32,74"
9919,2650,79,5459,"369,6",0,"0,15","0,05","26,59"
7836,2831,79,5690,432,0,"0,15","0,05","32,33"
9282,3296,79,6279,560,100,"0,05","0,05","72,2"
9405,3327,79,6318,309,100,"0,05","0,05","23,0916726"
10040,3516,79,6542,420,100,"0,05","0,05","67,86"
10536,3655,79,6721,252,100,"0,05","0,05","9,96"
2206,619,83,1529,"196,56",0,"0,15","0,05","13,75"
10021,1326,83,1529,"131,04",0,"0,15","0,05","8,75"
9614,3398,83,6392,"401,52",100,"0,05","0,05","40,11"
1790,844,84,170,"182,4",0,"0,15","0,05","11,13"
4796,1444,84,3446,"273,6",0,"0,15","0,05",40
4982,1881,84,4531,456,100,"0,05","0,05",40
7013,2602,84,4624,"182,4",0,"0,15","0,05",30
7187,3120,85,184,"129,6",0,"0,15","0,05","14,02"
744,721,85,1173,"144,36",100,"0,05","0,05","9,25408274"
2060,496,85,1285,"160,92",100,"0,05","0,05","10,6738272"
1294,659,85,1695,522,0,"0,15","0,05","57,0741788"
2953,661,85,1695,"364,68",0,"0,15","0,05","28,3347142"
6753,1354,85,1695,"383,76",0,"0,15","0,05","11,6950261"
11029,2573,85,1695,"455,4",0,"0,15","0,05","58,8749346"
1337,685,85,1736,"483,84",100,"0,05","0,05","21,7653023"
4690,1816,85,4423,"137,52",100,"0,05","0,05","6,47404325"
5417,1904,85,4526,"128,16",100,"0,05","0,05","9,02656629"
5401,2077,85,4752,"273,6",100,"0,05","0,05","16,670103"
7322,2685,85,5520,"542,52",100,"0,05","0,05","34,3673791"
10452,3373,85,6366,"567,36",0,"0,15","0,05","58,9782901"
701,388,86,905,"278,64",0,"0,15","0,05","16,6397461"
1288,653,86,1022,"283,92",0,"0,15","0,05","21,7857985"
1459,495,86,1046,"333,6",0,"0,15","0,05","18,1837694"
1446,410,86,1173,"185,76",0,"0,15","0,05","24,583849"
5442,1774,86,1173,"285,12",0,"0,15","0,05","30,8462412"
6577,2387,86,1539,"192,24",0,"0,15","0,05","21,8977474"
1480,729,86,1574,"185,76",0,"0,15","0,05","17,6437258"
1699,812,86,1775,"185,76",0,"0,15","0,05","19,1669665"
1858,874,86,1842,"232,2",0,"0,15","0,05","18,7995698"
5755,886,86,1842,"154,8",0,"0,15","0,05","10,103817"
5937,2290,86,1865,"160,2",0,"0,15","0,05","8,56464181"
1713,816,86,2022,"167,52",0,"0,15","0,05","6,95216614"
2223,1754,86,2139,378,0,"0,15","0,05","51,829857"
2312,1058,86,2542,"400,32",100,"0,05","0,05","20,4477773"
8416,2257,86,4983,"285,12",0,"0,15","0,05","15,409263"
9434,3304,86,6216,"185,76",0,"0,15","0,05","16,1589711"
9370,3345,86,6294,"192,24",0,"0,15","0,05","23,6085448"
11937,3654,86,6722,"285,12",0,"0,15","0,05","23,6857782"
5653,2076,87,4750,342,0,"0,15","0,05","17,55"
9057,3208,87,6173,"129,6",0,"0,15","0,05","7,95"
11124,3828,87,6889,198,0,"0,15","0,05","27,1145352"
2504,1144,89,2786,"108,15",100,"0,05","0,05","4,91989946"
3686,1558,89,3735,"203,18",0,"0,15","0,05","25,84"
1669,281,92,789,104,0,"0,15","0,05","15,249616"
1338,683,92,1729,109,0,"0,15","0,05","9,44815186"
1061,573,93,557,"126,48",0,"0,15","0,05","15,28"
1953,917,93,1463,"121,2",0,"0,15","0,05","29,93"
5013,847,93,1609,"147,12",0,"0,15","0,05","36,94"
8088,2457,93,1788,"986,88",0,"0,15","0,05","264,52"
2231,1021,93,2471,"140,4",0,"0,15","0,05","26,85"
10843,3278,93,6136,"103,78",0,"0,15","0,05","30,44"
7610,3381,95,17,"164,34",0,"0,15","0,05",13
728,401,95,533,363,100,"0,05","0,05",12
2718,1241,95,979,"147,72",0,"0,15","0,05","11,5"
871,475,95,1258,"500,16",100,"0,05","0,05",12
865,471,95,1270,"408,96",100,"0,05","0,05",12
878,481,95,1287,"417,18",100,"0,05","0,05",12
879,482,95,1288,"632,52",0,"0,15","0,05",17
880,483,95,1289,"382,2",100,"0,05","0,05",12
881,484,95,1290,"367,55",100,"0,05","0,05",12
886,488,95,1293,"407,16",100,"0,05","0,05",12
885,487,95,1296,"360,6",100,"0,05","0,05",12
889,490,95,1300,"416,4",100,"0,05","0,05",12
892,492,95,1303,"543,96",100,"0,05","0,05",12
901,499,95,1310,"392,89",100,"0,05","0,05",12
912,500,95,1313,"565,8",0,"0,15","0,05",12
1522,741,95,1598,"304,52",100,"0,05","0,05",14
1252,636,95,1609,"242,76",100,"0,05","0,05",12
2407,1107,95,1613,"217,07",0,"0,15","0,05",12
6673,2488,95,1691,"152,64",0,"0,15","0,05","11,5"
1285,649,95,1699,"433,2",100,"0,05","0,05",12
1400,704,95,1787,"536,66",100,"0,05","0,05",17
1573,766,95,1931,"326,58",100,"0,05","0,05",15
1575,768,95,1937,"364,14",100,"0,05","0,05",15
1649,786,95,1960,"128,76",100,"0,05","0,05","11,5"
1798,849,95,1997,"369,54",100,"0,05","0,05",15
6574,2393,95,2053,"352,8",100,"0,05","0,05",15
3752,976,95,2102,"254,5",0,"0,15","0,05",20
2249,1030,95,2482,"383,22",100,"0,05","0,05","21,5"
2331,1065,95,2554,"226,32",100,"0,05","0,05",14
5412,2020,95,4421,"173,94",0,"0,15","0,05",12
7622,2761,95,4453,"411,48",100,"0,05","0,05","21,5"
7354,2695,95,5531,"345,8",100,"0,05","0,05","21,5"
7372,2705,95,5536,"406,56",100,"0,05","0,05",15
7590,2751,95,5592,"300,55",100,"0,05","0,05",20
7621,2760,95,5601,"136,5",0,"0,15","0,05",17
7634,2770,95,5610,"343,75",100,"0,05","0,05","21,5"
8026,2898,95,5630,"305,5",100,"0,05","0,05",15
7703,2792,95,5643,"301,5",100,"0,05","0,05",20
7834,2830,95,5687,"361,44",100,"0,05","0,05",15
7855,2839,95,5697,"377,5",100,"0,05","0,05","21,5"
7920,2870,95,5719,"301,5",100,"0,05","0,05",20
8028,2900,95,5745,"368,88",100,"0,05","0,05",15
8041,2908,95,5750,"301,25",100,"0,05","0,05",20
8090,2920,95,5766,"383,76",100,"0,05","0,05",15
8174,2938,95,5801,"430,6",100,"0,05","0,05",16
8167,2939,95,5803,"369,24",100,"0,05","0,05",15
8191,2942,95,5809,"370,26",100,"0,05","0,05",15
2983,1350,99,550,"253,2",100,"0,05","0,05","7,25"
10394,527,101,1045,"123,44",0,"0,15","0,05","28,55"
1180,496,101,1285,"154,46",0,"0,15","0,05","28,55"
802,437,102,1201,"427,28",100,"0,05","0,05","35,6815958"
916,503,102,1209,"411,45",100,"0,05","0,05","52,4609483"
838,457,102,1233,"284,85",0,"0,15","0,05","33,3237349"
4661,1282,102,1233,"126,6",0,"0,15","0,05",5
10768,2009,102,1233,"284,85",0,"0,15","0,05",10
925,511,102,1334,"269,03",100,"0,05","0,05","20,05"
933,515,102,1349,"870,38",100,"0,05","0,05","34,54"
1384,666,102,1646,"395,63",100,"0,05","0,05","25,05"
4891,3090,102,2133,"427,28",0,"0,15","0,05",10
6130,2357,102,5092,"269,03",0,"0,15","0,05",6
1972,611,103,17,"123,22",0,"0,15","0,05","6,46005084"
7266,1679,103,681,"111,4",0,"0,15","0,05","7,2"
1003,540,103,1322,"127,02",0,"0,15","0,05","15,3915169"
5759,2166,103,1334,"253,2",0,"0,15","0,05","14,8347153"
