,Unnamed: 0,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,Crew,genre
4923,4923,tt0112857,Devil in a Blue Dress,Carl Franklin,Devil in a Blue Dress,1995-01-01,102,6,21791,"Carl Franklin, Denzel Washington","Crime,Drama,Mystery"
4924,4924,tt0112862,The Diary of Anne Frank,Akinori Nagaoka,Anne no nikki,1995-01-01,102,6,274,Seiko Nakano,"Animation,Biography,Drama"
4925,4925,tt0112864,Die Hard with a Vengeance,John McTiernan,Die Hard with a Vengeance,1995-01-01,128,7,394259,"Colleen Camp, Steve Boone, Timothy Adams, Bruce Willis","Action,Adventure,Thriller"
4926,4926,tt0112870,Dilwale Dulhania Le Jayenge,Aditya Chopra,Dilwale Dulhania Le Jayenge,1995-01-01,189,8,72516,"Anaita Shroff, Yash Chopra, Achala Sachdev, Shah Rukh Khan","Drama,Romance,NONE"
4927,4927,tt0112874,Dis-moi oui...,Alexandre Arcady,Dis-moi oui...,1995-01-01,107,6,276,"Mona Heftre, Jean-Hugues Anglade","Comedy,Drama,Romance"
4928,4928,tt0112883,Don Juan DeMarco,Jeremy Leven,Don Juan DeMarco,1994-01-01,97,6,51933,"Bob Dishy, Jo Champa, Maureen Farley, Johnny Depp","Comedy,Drama,Romance"
4929,4929,tt0112887,The Doom Generation,Gregg Araki,The Doom Generation,1995-01-01,83,6,16522,"Paul D. Fow, Lauren Tewes, John Balance, James Duval","Comedy,Crime,Drama"
4930,4930,tt0112889,Dos crÇðmenes,Roberto Sneider,Dos crÇðmenes,1994-01-01,108,7,322,"Jorge Ibargüengoitia, Damián Alcázar","Comedy,Crime,Drama"
4931,4931,tt0112896,Dracula: Dead and Loving It,Mel Brooks,Dracula: Dead and Loving It,1995-01-01,88,5,43229,"Vince Grant, Lysette Anthony, Steven Weber, Leslie Nielsen","Comedy,Fantasy,Horror"
4932,4932,tt0112901,Drei Herren,Nikolaus Leytner,Drei Herren,1998-01-01,90,6,284,"Martin Heesch, Karl Merkatz","Comedy,NONE,NONE"
