,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre 1,Crew
5159,tt0113967,New Jersey Drive,Nick Gomez,New Jersey Drive,1995-01-01,98,6,3332,Crime,"Nick Gomez, Funkmaster Flex, Shar-Ron Corley"
5160,tt0113971,Nothing Funny,Marek Koterski,Nic smiesznego,1995-01-01,95,7,3635,Comedy,"Katarzyna Gajdarska, Tomasz Konieczny, Agnieszka Buczek, Cezary Pazura"
5161,tt0113972,Nick of Time,John Badham,Nick of Time,1995-01-01,90,6,43724,Action,"Peter Strauss, John Badham, Lance August, Johnny Depp"
5162,tt0113982,Night of the Scarecrow,Jeff Burr,Night of the Scarecrow,1995-01-01,85,5,1314,Horror,Elizabeth Barondes
5163,tt0113986,Nine Months,Chris Columbus,Nine Months,1995-01-01,103,5,37651,Comedy,"Steven Van Zandt, Charlotte A. Baker, Priscilla Alden, Hugh Grant"
5164,tt0113987,Nixon,Oliver Stone,Nixon,1995-01-01,192,7,31718,Biography,"Paul Sorvino, Tom Bower, Annabeth Gish, Anthony Hopkins"
5172,tt0114011,Now and Then,Lesli Linka Glatter,Now and Then,1995-01-01,102,6,31021,Comedy,"Rita Wilson, Gaby Hoffmann, Sophie B. Hawkins, Christina Ricci"
5182,tt0114048,Operation Dumbo Drop,Simon Wincer,Operation Dumbo Drop,1995-01-01,107,5,9373,Action,"David Clayton-Thomas, Danny Glover"
5184,tt0114055,Peculiarities of the National Hunt,Aleksandr Rogozhkin,Osobennosti natsionalnoy okhoty,1995-01-01,93,7,4437,Comedy,"Viktor Bychkov, Aleksey Buldakov, Sergei Gusinskiy, Ville Haapasalo"
5185,tt0114057,Othello,Oliver Parker,Othello,1995-01-01,123,6,9865,Drama,"Pierre Vaneck, Oliver Parker, Laurence Fishburne"
5186,tt0114069,Outbreak,Wolfgang Petersen,Outbreak,1995-01-01,127,6,132552,Action,"Wolfgang Petersen, Johnny Kim, Jenna Byrne, Dustin Hoffman"
5191,tt0114084,Panther,Mario Van Peebles,Panther,1995-01-01,124,6,2601,Drama,"Mario Van Peebles, Jay Koch, Felipe Luciano, Kadeem Hardison"
5194,tt0114095,Party Girl,Daisy von Scherler Mayer,Party Girl,1995-01-01,94,6,5595,Comedy,"Daisy von Scherler Mayer, Sasha von Scherler, Parker Posey"
5196,tt0114099,The Passion of Darkly Noon,Philip Ridley,The Passion of Darkly Noon,1995-01-01,100,5,4043,Drama,"Philip Ridley, Jim Beach, Brendan Fraser"
5199,tt0114113,The Perez Family,Mira Nair,The Perez Family,1995-01-01,113,6,2367,Comedy,"Magaly Aguero, Marisa Tomei"
5201,tt0114115,The Dog in the Manger,Pilar Miró,El perro del hortelano,1996-01-01,119,6,1020,Comedy,"Pilar Miró, Emma Suárez"
5205,tt0114126,Thunderbolt,Gordon Chan,Pik lik foh,1995-01-01,110,6,9525,Action,"Thorsten Nickel, Marie Eguro, Jackie Chan"
5206,tt0114129,Picture Bride,Kayo Hatta,Picture Bride,1994-01-01,94,6,1166,Drama,"Kayo Hatta, James Grant Benton, Yûki Kudô"
5208,tt0114134,The Pillow Book,Peter Greenaway,The Pillow Book,1996-01-01,126,6,13270,Drama,"James Bowman, Sacha Vierny, Vivian Wu"
5210,tt0114168,Powder,Victor Salva,Powder,1995-01-01,111,6,31300,Drama,"Bradford Tatum, Missy Crider, Jackson Burns, Mary Steenburgen"
5211,tt0114194,The Prophecy,Gregory Widen,The Prophecy,1995-01-01,98,6,32039,Action,"Christopher Walken, Collin Butrum, Virginia Madsen, Christopher Walken"
5214,tt0114210,A Pyromaniac's Love Story,Joshua Brand,A Pyromaniac's Love Story,1995-01-01,94,5,1098,Comedy,"Floyd Vivino, Rob Wilson, William Baldwin"
